CustomerID,Recency,Frequency,Monetary,CustomerSegment
12421.0,15,5,806.27,High-Value/Frequent Spenders
12422.0,95,3,803.5600000000001,New/Low-Value Customers
12423.0,0,9,1849.1100000000001,High-Value/Frequent Spenders
12424.0,162,2,1760.96,New/Low-Value Customers
12425.0,77,1,777.2,New/Low-Value Customers
12426.0,194,1,582.73,At-Risk/Churning Customers
12427.0,11,5,708.37,High-Value/Frequent Spenders
12428.0,25,12,7877.2,High-Value/Frequent Spenders
12429.0,8,4,3750.4,Promising/Regular Customers
12430.0,42,1,256.4,New/Low-Value Customers
12431.0,35,18,6348.89,Promising/Regular Customers
12432.0,42,5,5059.32,Promising/Regular Customers
12433.0,0,7,13375.87,High-Value/Frequent Spenders
12434.0,84,4,765.19,Promising/Regular Customers
12435.0,79,2,7829.89,Promising/Regular Customers
12436.0,99,1,509.01,New/Low-Value Customers
12437.0,1,19,4896.66,High-Value/Frequent Spenders
12438.0,13,2,2906.85,Promising/Regular Customers
12441.0,366,1,173.55,At-Risk/Churning Customers
12442.0,2,1,172.06,New/Low-Value Customers
12444.0,20,5,5005.46,High-Value/Frequent Spenders
12445.0,21,1,133.4,New/Low-Value Customers
12446.0,57,1,1002.3100000000001,New/Low-Value Customers
12447.0,242,1,476.49,At-Risk/Churning Customers
12448.0,43,1,449.45,New/Low-Value Customers
12449.0,21,4,4067.29,Promising/Regular Customers
12450.0,155,2,197.88,New/Low-Value Customers
12451.0,10,6,8933.52,High-Value/Frequent Spenders
12452.0,16,3,428.57000000000005,Promising/Regular Customers
12453.0,133,1,707.09,New/Low-Value Customers
12454.0,52,2,5.684341886080802e-14,Promising/Regular Customers
12455.0,72,6,2466.86,Promising/Regular Customers
12456.0,43,4,3153.89,Promising/Regular Customers
12457.0,57,12,1917.78,Promising/Regular Customers
12458.0,70,2,947.4,Promising/Regular Customers
12461.0,93,2,826.88,New/Low-Value Customers
12462.0,1,4,1124.01,Promising/Regular Customers
12463.0,45,7,1303.63,Promising/Regular Customers
12464.0,9,8,1212.05,High-Value/Frequent Spenders
12465.0,7,3,733.89,Promising/Regular Customers
12468.0,142,3,724.04,New/Low-Value Customers
12471.0,1,49,18705.52,High-Value/Frequent Spenders
12472.0,30,13,6229.4800000000005,High-Value/Frequent Spenders
12473.0,28,9,2837.73,High-Value/Frequent Spenders
12474.0,16,30,7064.77,High-Value/Frequent Spenders
12475.0,53,1,723.38,New/Low-Value Customers
12476.0,0,20,6546.58,High-Value/Frequent Spenders
12477.0,22,9,13117.01,High-Value/Frequent Spenders
12478.0,3,1,680.99,New/Low-Value Customers
12479.0,3,3,477.3,Promising/Regular Customers
12480.0,27,4,3281.63,Promising/Regular Customers
12481.0,22,11,5574.36,High-Value/Frequent Spenders
12483.0,16,13,2327.13,High-Value/Frequent Spenders
12484.0,32,8,4480.87,Promising/Regular Customers
12488.0,9,3,1298.66,Promising/Regular Customers
12489.0,335,1,334.93,At-Risk/Churning Customers
12490.0,4,10,5417.93,High-Value/Frequent Spenders
12491.0,38,1,460.40000000000003,New/Low-Value Customers
12492.0,62,2,263.21000000000004,Promising/Regular Customers
12493.0,165,3,416.79,New/Low-Value Customers
12494.0,9,13,1139.3500000000001,High-Value/Frequent Spenders
12497.0,81,1,1043.1,New/Low-Value Customers
12498.0,20,3,403.70000000000005,Promising/Regular Customers
12500.0,22,13,4206.2699999999995,High-Value/Frequent Spenders
12501.0,314,2,2089.68,At-Risk/Churning Customers
12502.0,95,5,3723.87,New/Low-Value Customers
12503.0,337,1,-1126.0,At-Risk/Churning Customers
12504.0,17,4,114.0,Promising/Regular Customers
12505.0,300,1,-4.5,At-Risk/Churning Customers
12506.0,232,1,73.5,At-Risk/Churning Customers
12507.0,133,4,1258.06,New/Low-Value Customers
12508.0,25,2,397.88,Promising/Regular Customers
12509.0,283,1,176.5,At-Risk/Churning Customers
12510.0,142,2,982.5699999999999,New/Low-Value Customers
12512.0,65,2,132.18,Promising/Regular Customers
12513.0,84,2,586.79,Promising/Regular Customers
12514.0,266,1,1017.6800000000001,At-Risk/Churning Customers
12515.0,352,1,383.7,At-Risk/Churning Customers
12516.0,77,2,1312.06,Promising/Regular Customers
12517.0,27,6,2443.65,High-Value/Frequent Spenders
12518.0,0,5,2056.89,High-Value/Frequent Spenders
12519.0,63,1,330.84000000000003,New/Low-Value Customers
12520.0,78,6,2582.51,Promising/Regular Customers
12521.0,142,1,599.68,New/Low-Value Customers
12522.0,38,2,192.72,Promising/Regular Customers
12523.0,1,13,1745.57,High-Value/Frequent Spenders
12524.0,8,8,4485.72,High-Value/Frequent Spenders
12526.0,0,3,1316.66,Promising/Regular Customers
12527.0,81,3,348.71000000000004,Promising/Regular Customers
12528.0,8,8,1922.28,High-Value/Frequent Spenders
12530.0,59,5,1623.63,Promising/Regular Customers
12531.0,14,1,125.22,New/Low-Value Customers
12532.0,29,1,349.83000000000004,New/Low-Value Customers
12534.0,130,1,1089.18,New/Low-Value Customers
12535.0,91,2,716.35,New/Low-Value Customers
12536.0,7,5,4106.82,High-Value/Frequent Spenders
12538.0,28,1,363.95,New/Low-Value Customers
12539.0,21,5,3852.5,High-Value/Frequent Spenders
12540.0,19,19,13309.04,High-Value/Frequent Spenders
12541.0,29,3,981.18,Promising/Regular Customers
12544.0,29,2,355.7,Promising/Regular Customers
12545.0,74,2,1000.39,Promising/Regular Customers
12546.0,46,3,1141.5,Promising/Regular Customers
12547.0,197,2,207.8,At-Risk/Churning Customers
12548.0,165,1,95.19999999999999,New/Low-Value Customers
12550.0,78,1,964.83,New/Low-Value Customers
12551.0,357,1,168.0,At-Risk/Churning Customers
12552.0,38,2,437.82,Promising/Regular Customers
12553.0,7,14,3652.25,High-Value/Frequent Spenders
12556.0,49,2,599.56,Promising/Regular Customers
12557.0,15,5,11990.960000000001,High-Value/Frequent Spenders
12558.0,1,2,1.0658141036401503e-14,Promising/Regular Customers
12559.0,310,3,536.21,At-Risk/Churning Customers
12560.0,4,4,2101.39,Promising/Regular Customers
12561.0,302,1,238.85,At-Risk/Churning Customers
12562.0,7,7,3781.7400000000002,High-Value/Frequent Spenders
12564.0,260,1,456.90000000000003,At-Risk/Churning Customers
12565.0,281,2,131.17000000000002,At-Risk/Churning Customers
12566.0,72,2,346.7,Promising/Regular Customers
12567.0,22,11,9114.94,High-Value/Frequent Spenders
12569.0,1,35,4064.9900000000002,High-Value/Frequent Spenders
12571.0,39,2,519.61,Promising/Regular Customers
12572.0,8,3,1004.72,Promising/Regular Customers
12573.0,226,1,160.54000000000002,At-Risk/Churning Customers
12574.0,315,1,218.45000000000002,At-Risk/Churning Customers
12576.0,35,6,1306.98,Promising/Regular Customers
12577.0,34,4,564.2,Promising/Regular Customers
12578.0,20,4,2753.36,Promising/Regular Customers
12579.0,72,3,410.72,Promising/Regular Customers
12580.0,246,1,415.7,At-Risk/Churning Customers
12581.0,39,1,197.71,New/Low-Value Customers
12582.0,238,2,511.36,At-Risk/Churning Customers
12583.0,2,18,7187.34,High-Value/Frequent Spenders
12584.0,3,18,1893.95,High-Value/Frequent Spenders
12585.0,233,4,1982.81,At-Risk/Churning Customers
12586.0,16,2,179.94000000000003,Promising/Regular Customers
12587.0,7,1,144.0,New/Low-Value Customers
12588.0,38,1,214.89999999999998,New/Low-Value Customers
12589.0,28,2,646.68,Promising/Regular Customers
12590.0,189,3,9861.38,At-Risk/Churning Customers
12591.0,316,1,452.84999999999997,At-Risk/Churning Customers
12592.0,91,2,437.6,New/Low-Value Customers
12593.0,108,3,418.1,New/Low-Value Customers
12594.0,37,11,3320.2200000000003,Promising/Regular Customers
12596.0,50,2,618.27,Promising/Regular Customers
12597.0,18,5,3683.13,High-Value/Frequent Spenders
12598.0,9,9,3002.68,High-Value/Frequent Spenders
12599.0,28,7,1032.58,High-Value/Frequent Spenders
12600.0,28,11,2581.04,High-Value/Frequent Spenders
12601.0,189,6,569.5600000000001,At-Risk/Churning Customers
12602.0,58,1,153.12,New/Low-Value Customers
12603.0,21,1,739.1999999999999,New/Low-Value Customers
12604.0,78,2,254.18,Promising/Regular Customers
12605.0,364,1,-7.5,At-Risk/Churning Customers
12607.0,57,2,7.105427357601002e-15,Promising/Regular Customers
12609.0,77,3,1126.85,Promising/Regular Customers
12610.0,22,7,2057.99,High-Value/Frequent Spenders
12611.0,51,1,1193.32,New/Low-Value Customers
12612.0,57,2,643.59,Promising/Regular Customers
12613.0,30,6,3218.98,High-Value/Frequent Spenders
12614.0,277,1,315.6,At-Risk/Churning Customers
12615.0,1,4,2291.19,Promising/Regular Customers
12616.0,84,5,657.25,Promising/Regular Customers
12617.0,28,1,352.98,New/Low-Value Customers
12618.0,21,1,177.31,New/Low-Value Customers
12619.0,15,13,3214.81,High-Value/Frequent Spenders
12620.0,14,3,1339.41,Promising/Regular Customers
12621.0,1,23,13612.07,High-Value/Frequent Spenders
12622.0,231,1,180.1,At-Risk/Churning Customers
12623.0,275,1,305.1,At-Risk/Churning Customers
12624.0,105,2,641.13,New/Low-Value Customers
12625.0,211,3,2614.32,At-Risk/Churning Customers
12626.0,22,13,6388.35,High-Value/Frequent Spenders
12627.0,10,7,4478.53,High-Value/Frequent Spenders
12628.0,3,4,769.61,Promising/Regular Customers
12630.0,9,2,1270.88,Promising/Regular Customers
12631.0,56,1,640.5,New/Low-Value Customers
12633.0,58,5,2140.63,Promising/Regular Customers
12635.0,89,2,1689.18,Promising/Regular Customers
12637.0,66,10,5934.25,Promising/Regular Customers
12638.0,32,1,671.69,New/Low-Value Customers
12639.0,238,1,486.1,At-Risk/Churning Customers
12640.0,23,3,1174.58,Promising/Regular Customers
12641.0,114,1,185.9,New/Low-Value Customers
12642.0,24,3,1013.26,Promising/Regular Customers
12643.0,127,6,3344.64,New/Low-Value Customers
12644.0,129,1,477.90999999999997,New/Low-Value Customers
12645.0,33,5,1755.38,Promising/Regular Customers
12646.0,4,2,1346.97,Promising/Regular Customers
12647.0,21,13,3669.92,High-Value/Frequent Spenders
12648.0,154,1,318.05,New/Low-Value Customers
12649.0,106,4,603.71,New/Low-Value Customers
12650.0,2,1,314.44,New/Low-Value Customers
12651.0,334,1,114.0,At-Risk/Churning Customers
12652.0,321,2,914.5300000000001,At-Risk/Churning Customers
12653.0,148,2,2209.85,New/Low-Value Customers
12654.0,10,5,601.98,High-Value/Frequent Spenders
12656.0,16,8,3982.72,High-Value/Frequent Spenders
12657.0,10,5,1152.06,High-Value/Frequent Spenders
12658.0,18,1,686.05,New/Low-Value Customers
12659.0,29,1,91.68,New/Low-Value Customers
12660.0,10,1,245.10000000000002,New/Low-Value Customers
12662.0,0,12,3817.08,High-Value/Frequent Spenders
12664.0,7,10,4863.88,High-Value/Frequent Spenders
12665.0,324,2,61.75,At-Risk/Churning Customers
12666.0,358,1,-227.44,At-Risk/Churning Customers
12667.0,57,1,620.13,New/Low-Value Customers
12668.0,6,6,3743.1800000000003,High-Value/Frequent Spenders
12669.0,150,4,1607.73,New/Low-Value Customers
12670.0,9,6,2986.15,High-Value/Frequent Spenders
12672.0,329,1,225.9,At-Risk/Churning Customers
12673.0,4,2,610.52,Promising/Regular Customers
12674.0,11,7,1922.26,High-Value/Frequent Spenders
12676.0,24,6,1331.39,High-Value/Frequent Spenders
12678.0,41,13,17588.26,Promising/Regular Customers
12679.0,51,9,1058.67,Promising/Regular Customers
12680.0,0,4,862.81,Promising/Regular Customers
12681.0,14,27,13677.59,High-Value/Frequent Spenders
12682.0,3,31,12279.82,High-Value/Frequent Spenders
12683.0,3,20,8221.09,High-Value/Frequent Spenders
12684.0,7,7,2283.63,High-Value/Frequent Spenders
12685.0,27,6,2863.08,High-Value/Frequent Spenders
12686.0,371,1,89.14,At-Risk/Churning Customers
12688.0,113,1,4873.81,New/Low-Value Customers
12689.0,25,2,1247.6100000000001,Promising/Regular Customers
12690.0,205,1,389.01,At-Risk/Churning Customers
12691.0,27,6,1035.8,High-Value/Frequent Spenders
12693.0,120,6,830.96,New/Low-Value Customers
12694.0,69,2,869.67,Promising/Regular Customers
12695.0,6,4,582.1,Promising/Regular Customers
12697.0,20,5,939.02,High-Value/Frequent Spenders
12700.0,7,6,4867.99,High-Value/Frequent Spenders
12701.0,79,2,797.71,Promising/Regular Customers
12702.0,19,1,219.0,New/Low-Value Customers
12703.0,63,2,274.7,Promising/Regular Customers
12704.0,6,10,2220.84,High-Value/Frequent Spenders
12705.0,14,14,6814.24,High-Value/Frequent Spenders
12707.0,291,1,603.42,At-Risk/Churning Customers
12708.0,29,16,2616.32,High-Value/Frequent Spenders
12709.0,2,26,9264.1,High-Value/Frequent Spenders
12710.0,96,4,1130.57,New/Low-Value Customers
12712.0,22,17,4241.63,High-Value/Frequent Spenders
12713.0,0,1,848.55,New/Low-Value Customers
12714.0,8,5,4708.86,High-Value/Frequent Spenders
12715.0,105,1,343.36,New/Low-Value Customers
12716.0,3,2,1053.49,Promising/Regular Customers
12717.0,150,3,980.98,New/Low-Value Customers
12718.0,70,1,238.25,New/Low-Value Customers
12719.0,4,3,608.1,Promising/Regular Customers
12720.0,2,29,5713.28,High-Value/Frequent Spenders
12721.0,31,7,2628.98,Promising/Regular Customers
12722.0,84,6,904.33,Promising/Regular Customers
12723.0,3,5,725.07,High-Value/Frequent Spenders
12724.0,4,4,1031.41,Promising/Regular Customers
12725.0,370,1,427.8,At-Risk/Churning Customers
12726.0,27,7,2609.1,High-Value/Frequent Spenders
12727.0,10,9,3947.7000000000003,High-Value/Frequent Spenders
12728.0,70,4,836.33,Promising/Regular Customers
12729.0,113,1,453.01,New/Low-Value Customers
12731.0,23,14,18793.41,High-Value/Frequent Spenders
12732.0,179,1,236.26000000000002,New/Low-Value Customers
12733.0,233,1,383.95,At-Risk/Churning Customers
12734.0,352,1,110.39999999999999,At-Risk/Churning Customers
12735.0,314,2,779.5699999999999,At-Risk/Churning Customers
12736.0,332,1,234.0,At-Risk/Churning Customers
12738.0,371,1,155.35,At-Risk/Churning Customers
12739.0,77,2,1013.04,Promising/Regular Customers
12740.0,63,1,427.6,New/Low-Value Customers
12743.0,133,2,540.13,New/Low-Value Customers
12744.0,51,10,9120.39,Promising/Regular Customers
12747.0,1,11,4196.01,High-Value/Frequent Spenders
12748.0,0,224,28405.56,High-Value/Frequent Spenders
12749.0,3,8,3868.2,High-Value/Frequent Spenders
12750.0,128,1,275.88,New/Low-Value Customers
12752.0,80,1,4366.78,New/Low-Value Customers
12753.0,3,11,21024.01,High-Value/Frequent Spenders
12754.0,235,5,2949.12,At-Risk/Churning Customers
12755.0,249,4,2203.2000000000003,At-Risk/Churning Customers
12756.0,86,1,112.08,New/Low-Value Customers
12757.0,15,19,4205.25,High-Value/Frequent Spenders
12758.0,116,2,2791.59,New/Low-Value Customers
12759.0,51,3,1531.44,Promising/Regular Customers
12762.0,7,2,1898.52,Promising/Regular Customers
12763.0,137,2,494.08,New/Low-Value Customers
12764.0,316,1,1693.88,At-Risk/Churning Customers
12766.0,3,7,6989.63,High-Value/Frequent Spenders
12769.0,238,1,1143.6,At-Risk/Churning Customers
12770.0,210,1,1351.45,At-Risk/Churning Customers
12772.0,59,1,892.47,New/Low-Value Customers
12775.0,16,6,1351.24,High-Value/Frequent Spenders
12778.0,19,7,804.23,High-Value/Frequent Spenders
12779.0,20,12,3868.7,High-Value/Frequent Spenders
12781.0,20,5,707.72,High-Value/Frequent Spenders
12782.0,4,6,2273.32,High-Value/Frequent Spenders
12783.0,1,8,1603.87,High-Value/Frequent Spenders
12784.0,8,2,532.82,Promising/Regular Customers
12785.0,2,2,305.71,Promising/Regular Customers
12787.0,9,3,463.66,Promising/Regular Customers
12789.0,64,1,91.85,New/Low-Value Customers
12790.0,191,1,324.92,At-Risk/Churning Customers
12791.0,373,1,192.60000000000002,At-Risk/Churning Customers
12792.0,256,1,400.54,At-Risk/Churning Customers
12793.0,334,2,545.48,At-Risk/Churning Customers
12794.0,52,2,860.41,Promising/Regular Customers
12795.0,18,1,430.48,New/Low-Value Customers
12797.0,359,3,194.18,At-Risk/Churning Customers
12798.0,9,3,6977.04,Promising/Regular Customers
12802.0,183,2,412.58,At-Risk/Churning Customers
12808.0,36,3,483.65000000000003,Promising/Regular Customers
12809.0,167,2,484.36,New/Low-Value Customers
12811.0,260,3,514.85,At-Risk/Churning Customers
12812.0,44,1,229.64000000000001,New/Low-Value Customers
12814.0,101,1,125.92,New/Low-Value Customers
12815.0,147,2,1063.46,New/Low-Value Customers
12816.0,95,2,572.2,New/Low-Value Customers
12817.0,280,1,166.04000000000002,At-Risk/Churning Customers
12818.0,177,2,1517.88,New/Low-Value Customers
12820.0,2,4,942.34,Promising/Regular Customers
12821.0,213,1,92.72,At-Risk/Churning Customers
12822.0,70,3,918.98,Promising/Regular Customers
12823.0,74,5,1759.5,Promising/Regular Customers
12824.0,59,1,397.12,New/Low-Value Customers
12826.0,2,8,1468.1200000000001,High-Value/Frequent Spenders
12827.0,5,3,430.15,Promising/Regular Customers
12828.0,2,6,1018.71,High-Value/Frequent Spenders
12829.0,321,3,253.05,At-Risk/Churning Customers
12830.0,37,7,6748.4,Promising/Regular Customers
12831.0,261,1,215.05,At-Risk/Churning Customers
12832.0,31,2,383.03000000000003,Promising/Regular Customers
12833.0,144,1,417.38,New/Low-Value Customers
12834.0,282,1,312.38,At-Risk/Churning Customers
12836.0,58,4,2610.36,Promising/Regular Customers
12837.0,172,1,134.1,New/Low-Value Customers
12838.0,33,2,671.95,Promising/Regular Customers
12839.0,2,16,5583.62,High-Value/Frequent Spenders
12840.0,143,6,2714.27,New/Low-Value Customers
12841.0,4,26,3845.63,High-Value/Frequent Spenders
12842.0,69,2,1118.99,Promising/Regular Customers
12843.0,65,9,1680.76,Promising/Regular Customers
12844.0,28,2,325.96000000000004,Promising/Regular Customers
12845.0,266,4,354.09000000000003,At-Risk/Churning Customers
12847.0,21,1,843.64,New/Low-Value Customers
12849.0,30,2,1010.29,Promising/Regular Customers
12851.0,96,1,131.81,New/Low-Value Customers
12852.0,289,2,299.75,At-Risk/Churning Customers
12853.0,107,9,1881.7,New/Low-Value Customers
12854.0,78,5,1280.9,Promising/Regular Customers
12855.0,372,1,38.1,At-Risk/Churning Customers
12856.0,7,8,2153.53,High-Value/Frequent Spenders
12857.0,210,2,1106.4,At-Risk/Churning Customers
12863.0,51,2,504.2,Promising/Regular Customers
12864.0,137,1,147.12,New/Low-Value Customers
12865.0,25,3,1548.07,Promising/Regular Customers
12866.0,282,1,559.12,At-Risk/Churning Customers
12867.0,25,10,3958.74,High-Value/Frequent Spenders
12868.0,185,6,1607.0600000000002,At-Risk/Churning Customers
12870.0,365,1,-14.899999999999999,At-Risk/Churning Customers
12871.0,83,2,380.64,Promising/Regular Customers
12872.0,326,2,599.97,At-Risk/Churning Customers
12873.0,281,1,374.0,At-Risk/Churning Customers
12875.0,142,2,343.2300000000001,New/Low-Value Customers
12876.0,57,2,2218.02,Promising/Regular Customers
12877.0,3,12,1535.77,High-Value/Frequent Spenders
12878.0,17,3,841.64,Promising/Regular Customers
12879.0,44,4,552.57,Promising/Regular Customers
12881.0,275,1,298.0,At-Risk/Churning Customers
12882.0,8,2,1463.04,Promising/Regular Customers
12883.0,24,4,703.47,Promising/Regular Customers
12884.0,87,1,309.05,New/Low-Value Customers
12885.0,62,4,1158.27,Promising/Regular Customers
12886.0,67,3,1351.09,Promising/Regular Customers
12888.0,213,4,313.77,At-Risk/Churning Customers
12890.0,23,1,376.71999999999997,New/Low-Value Customers
12891.0,185,3,331.0,At-Risk/Churning Customers
12893.0,30,1,176.55,New/Low-Value Customers
12895.0,41,3,347.3,Promising/Regular Customers
12897.0,204,2,216.5,At-Risk/Churning Customers
12901.0,8,36,16293.1,High-Value/Frequent Spenders
12902.0,264,1,138.68,At-Risk/Churning Customers
12904.0,17,2,496.06,Promising/Regular Customers
12906.0,11,5,2919.81,High-Value/Frequent Spenders
12908.0,58,4,246.0,Promising/Regular Customers
12909.0,39,8,2128.83,Promising/Regular Customers
12910.0,22,8,3075.04,High-Value/Frequent Spenders
12912.0,2,5,1662.3,High-Value/Frequent Spenders
12913.0,4,5,2483.63,High-Value/Frequent Spenders
12915.0,148,2,363.65,New/Low-Value Customers
12916.0,138,5,2921.15,New/Low-Value Customers
12917.0,127,1,594.0,New/Low-Value Customers
12919.0,7,8,1301.44,High-Value/Frequent Spenders
12920.0,16,1,162.78,New/Low-Value Customers
12921.0,3,50,16389.74,High-Value/Frequent Spenders
12922.0,160,1,405.38,New/Low-Value Customers
12923.0,63,1,172.82,New/Low-Value Customers
12924.0,87,5,929.95,Promising/Regular Customers
12925.0,4,2,694.05,Promising/Regular Customers
12928.0,34,5,2062.7,Promising/Regular Customers
12929.0,121,2,105.1,New/Low-Value Customers
12930.0,77,4,409.90000000000003,Promising/Regular Customers
12931.0,21,20,33462.81,High-Value/Frequent Spenders
12933.0,23,4,606.28,Promising/Regular Customers
12935.0,1,8,2156.45,High-Value/Frequent Spenders
12936.0,16,5,1012.9,High-Value/Frequent Spenders
12937.0,14,4,1504.27,Promising/Regular Customers
12938.0,25,1,114.14,New/Low-Value Customers
12939.0,63,8,11581.8,Promising/Regular Customers
12940.0,45,4,862.44,Promising/Regular Customers
12942.0,130,3,675.6,New/Low-Value Customers
12943.0,300,1,-3.75,At-Risk/Churning Customers
12944.0,35,2,604.51,Promising/Regular Customers
12945.0,287,1,462.95,At-Risk/Churning Customers
12947.0,143,11,1407.29,New/Low-Value Customers
12948.0,15,8,2053.7,High-Value/Frequent Spenders
12949.0,30,10,4143.02,High-Value/Frequent Spenders
12950.0,1,3,1843.0,Promising/Regular Customers
12951.0,8,8,1042.07,High-Value/Frequent Spenders
12952.0,5,5,1382.84,High-Value/Frequent Spenders
12953.0,9,1,329.85,New/Low-Value Customers
12955.0,0,14,4734.26,High-Value/Frequent Spenders
12956.0,305,1,108.07,At-Risk/Churning Customers
12957.0,3,12,3979.04,High-Value/Frequent Spenders
12962.0,6,2,266.39,Promising/Regular Customers
12963.0,7,9,1841.03,High-Value/Frequent Spenders
12965.0,88,1,769.8100000000001,New/Low-Value Customers
12966.0,9,1,160.18,New/Low-Value Customers
12967.0,2,4,1194.75,Promising/Regular Customers
12968.0,111,1,135.95,New/Low-Value Customers
12970.0,6,4,405.47,Promising/Regular Customers
12971.0,3,89,10930.26,High-Value/Frequent Spenders
12974.0,197,1,144.8,At-Risk/Churning Customers
12976.0,211,1,738.6,At-Risk/Churning Customers
12977.0,155,1,39.239999999999995,New/Low-Value Customers
12980.0,155,12,7092.06,New/Low-Value Customers
12981.0,29,2,372.21999999999997,Promising/Regular Customers
12982.0,239,2,377.2,At-Risk/Churning Customers
12984.0,18,1,97.5,New/Low-Value Customers
12985.0,0,3,1215.6200000000001,Promising/Regular Customers
12987.0,73,3,545.0,Promising/Regular Customers
12988.0,291,1,505.82,At-Risk/Churning Customers
12989.0,2,19,6854.51,High-Value/Frequent Spenders
12990.0,30,3,409.5,Promising/Regular Customers
12991.0,22,2,503.76,Promising/Regular Customers
12993.0,22,4,414.76,Promising/Regular Customers
12994.0,3,5,902.22,High-Value/Frequent Spenders
12995.0,77,2,200.72,Promising/Regular Customers
12997.0,21,7,1197.94,High-Value/Frequent Spenders
12999.0,195,3,455.88,At-Risk/Churning Customers
13000.0,106,3,534.85,New/Low-Value Customers
13001.0,3,15,9765.07,High-Value/Frequent Spenders
13002.0,317,1,120.95,At-Risk/Churning Customers
13003.0,105,3,149.05,New/Low-Value Customers
13004.0,11,22,5613.43,High-Value/Frequent Spenders
13005.0,173,3,468.95,New/Low-Value Customers
13006.0,55,1,81.57,New/Low-Value Customers
13008.0,322,2,178.47,At-Risk/Churning Customers
13011.0,371,1,50.550000000000004,At-Risk/Churning Customers
13012.0,8,11,1296.6200000000001,High-Value/Frequent Spenders
13013.0,0,15,4786.99,High-Value/Frequent Spenders
13014.0,2,16,3365.43,High-Value/Frequent Spenders
13015.0,52,5,3339.64,Promising/Regular Customers
13016.0,72,3,789.89,Promising/Regular Customers
13017.0,6,1,204.0,New/Low-Value Customers
13018.0,15,29,7272.75,High-Value/Frequent Spenders
13021.0,3,12,2584.4,High-Value/Frequent Spenders
13023.0,63,2,689.9,Promising/Regular Customers
13026.0,0,8,936.15,High-Value/Frequent Spenders
13027.0,113,6,6912.0,New/Low-Value Customers
13028.0,22,3,659.68,Promising/Regular Customers
13029.0,30,3,1247.5,Promising/Regular Customers
13030.0,10,2,752.44,Promising/Regular Customers
13032.0,38,3,996.52,Promising/Regular Customers
13033.0,356,1,190.55,At-Risk/Churning Customers
13034.0,54,2,642.77,Promising/Regular Customers
13035.0,57,3,886.63,Promising/Regular Customers
